time, Average hourly earnings of production and nonsupervisory employees 1982-84 dollars computer systems design services not seasonally 
Jan-1990,15.5
Feb-1990,15.75
Mar-1990,15.59
Apr-1990,15.88
May-1990,15.75
Jun-1990,15.72
Jul-1990,15.8
Aug-1990,15.77
Sep-1990,15.77
Oct-1990,15.81
Nov-1990,15.71
Dec-1990,15.73
Jan-1991,15.41
Feb-1991,15.59
Mar-1991,15.59
Apr-1991,15.75
May-1991,15.7
Jun-1991,15.77
Jul-1991,15.73
Aug-1991,15.55
Sep-1991,15.62
Oct-1991,15.5
Nov-1991,15.4
Dec-1991,15.53
Jan-1992,15.33
Feb-1992,15.38
Mar-1992,15.34
Apr-1992,15.14
May-1992,15.07
Jun-1992,15.07
Jul-1992,15.13
Aug-1992,15.1
Sep-1992,14.96
Oct-1992,15.04
Nov-1992,14.95
Dec-1992,14.96
Jan-1993,14.8
Feb-1993,15.0
Mar-1993,15.0
Apr-1993,15.08
May-1993,15.22
Jun-1993,15.13
Jul-1993,15.07
Aug-1993,15.17
Sep-1993,15.02
Oct-1993,15.06
Nov-1993,15.08
Dec-1993,15.32
Jan-1994,15.41
Feb-1994,15.26
Mar-1994,15.17
Apr-1994,15.28
May-1994,15.33
Jun-1994,15.13
Jul-1994,15.27
Aug-1994,15.13
Sep-1994,15.28
Oct-1994,15.36
Nov-1994,15.31
Dec-1994,15.26
Jan-1995,15.32
Feb-1995,15.39
Mar-1995,15.28
Apr-1995,15.45
May-1995,15.28
Jun-1995,15.28
Jul-1995,15.58
Aug-1995,15.3
Sep-1995,15.43
Oct-1995,15.74
Nov-1995,15.58
Dec-1995,15.71
Jan-1996,15.62
Feb-1996,15.63
Mar-1996,15.59
Apr-1996,15.49
May-1996,15.42
Jun-1996,15.72
Jul-1996,15.66
Aug-1996,15.68
Sep-1996,15.8
Oct-1996,15.96
Nov-1996,16.0
Dec-1996,16.15
Jan-1997,16.02
Feb-1997,16.24
Mar-1997,16.18
Apr-1997,15.99
May-1997,16.13
Jun-1997,16.3
Jul-1997,16.22
Aug-1997,16.25
Sep-1997,16.34
Oct-1997,16.5
Nov-1997,16.62
Dec-1997,16.72
Jan-1998,16.61
Feb-1998,17.02
Mar-1998,16.93
Apr-1998,17.03
May-1998,16.97
Jun-1998,16.98
Jul-1998,17.03
Aug-1998,17.08
Sep-1998,17.09
Oct-1998,17.11
Nov-1998,17.31
Dec-1998,17.24
Jan-1999,17.2
Feb-1999,17.41
Mar-1999,17.28
Apr-1999,17.34
May-1999,17.51
Jun-1999,17.33
Jul-1999,17.29
Aug-1999,17.34
Sep-1999,17.23
Oct-1999,17.36
Nov-1999,17.29
Dec-1999,17.34
