time, Average weekly hours of production and nonsupervisory employees computer systems design and related services not seasonally 
Jan-1990,37.9
Feb-1990,38.5
Mar-1990,38.4
Apr-1990,38.8
May-1990,38.2
Jun-1990,38.1
Jul-1990,38.1
Aug-1990,38.0
Sep-1990,38.7
Oct-1990,38.0
Nov-1990,38.0
Dec-1990,38.4
Jan-1991,37.6
Feb-1991,38.3
Mar-1991,38.2
Apr-1991,38.0
May-1991,37.9
Jun-1991,38.3
Jul-1991,37.6
Aug-1991,38.0
Sep-1991,38.5
Oct-1991,37.8
Nov-1991,38.2
Dec-1991,38.2
Jan-1992,37.3
Feb-1992,38.6
Mar-1992,38.2
Apr-1992,38.2
May-1992,38.0
Jun-1992,37.8
Jul-1992,37.9
Aug-1992,38.6
Sep-1992,37.9
Oct-1992,38.0
Nov-1992,38.4
Dec-1992,37.7
Jan-1993,37.8
Feb-1993,38.4
Mar-1993,38.1
Apr-1993,37.8
May-1993,38.5
Jun-1993,37.9
Jul-1993,37.8
Aug-1993,38.3
Sep-1993,37.9
Oct-1993,38.0
Nov-1993,38.1
Dec-1993,37.9
Jan-1994,38.2
Feb-1994,38.0
Mar-1994,37.7
Apr-1994,37.9
May-1994,38.4
Jun-1994,37.6
Jul-1994,37.4
Aug-1994,37.4
Sep-1994,37.4
Oct-1994,38.2
Nov-1994,37.4
Dec-1994,37.6
Jan-1995,38.1
Feb-1995,37.7
Mar-1995,37.3
Apr-1995,38.0
May-1995,36.9
Jun-1995,37.2
Jul-1995,37.6
Aug-1995,37.2
Sep-1995,37.5
Oct-1995,38.2
Nov-1995,37.4
Dec-1995,37.1
Jan-1996,36.6
Feb-1996,37.1
Mar-1996,37.3
Apr-1996,37.3
May-1996,37.4
Jun-1996,38.3
Jul-1996,36.9
Aug-1996,37.5
Sep-1996,38.0
Oct-1996,37.3
Nov-1996,37.6
Dec-1996,38.0
Jan-1997,37.2
Feb-1997,38.4
Mar-1997,38.3
Apr-1997,38.1
May-1997,38.1
Jun-1997,38.6
Jul-1997,37.8
Aug-1997,38.4
Sep-1997,38.0
Oct-1997,38.2
Nov-1997,39.0
Dec-1997,38.1
Jan-1998,38.0
Feb-1998,38.5
Mar-1998,38.4
Apr-1998,37.9
May-1998,38.1
Jun-1998,38.3
Jul-1998,38.1
Aug-1998,38.8
Sep-1998,38.0
Oct-1998,38.1
Nov-1998,38.8
Dec-1998,38.1
Jan-1999,37.8
