time, Average weekly hours of production and nonsupervisory employees computer systems design and related services seasonally 
Jan-1990,38.5
Feb-1990,38.4
Mar-1990,38.4
Apr-1990,38.2
May-1990,38.4
Jun-1990,38.4
Jul-1990,37.7
Aug-1990,38.3
Sep-1990,38.2
Oct-1990,38.2
Nov-1990,38.0
Dec-1990,38.1
Jan-1991,38.2
Feb-1991,38.2
Mar-1991,38.2
Apr-1991,38.2
May-1991,38.1
Jun-1991,37.7
Jul-1991,38.0
Aug-1991,38.3
Sep-1991,38.0
Oct-1991,38.0
Nov-1991,38.2
Dec-1991,37.8
Jan-1992,37.9
Feb-1992,37.9
Mar-1992,37.6
Apr-1992,38.4
May-1992,38.3
Jun-1992,38.1
Jul-1992,38.3
Aug-1992,38.1
Sep-1992,38.2
Oct-1992,38.2
Nov-1992,37.6
Dec-1992,38.0
Jan-1993,38.5
Feb-1993,38.3
Mar-1993,38.2
Apr-1993,38.0
May-1993,37.8
Jun-1993,38.1
Jul-1993,38.2
Aug-1993,37.8
Sep-1993,38.1
Oct-1993,38.2
Nov-1993,38.1
Dec-1993,38.2
Jan-1994,37.8
Feb-1994,37.9
Mar-1994,37.8
Apr-1994,38.0
May-1994,37.8
Jun-1994,37.8
Jul-1994,37.8
Aug-1994,37.6
Sep-1994,37.6
Oct-1994,37.5
Nov-1994,37.4
Dec-1994,37.8
Jan-1995,37.7
Feb-1995,37.7
Mar-1995,37.5
Apr-1995,37.4
May-1995,37.2
Jun-1995,37.3
Jul-1995,37.3
Aug-1995,37.4
Sep-1995,37.7
Oct-1995,37.5
Nov-1995,37.5
Dec-1995,37.3
Jan-1996,37.2
Feb-1996,37.2
Mar-1996,37.5
Apr-1996,37.4
May-1996,37.7
Jun-1996,37.5
Jul-1996,37.3
Aug-1996,37.7
Sep-1996,37.4
Oct-1996,37.5
Nov-1996,37.7
Dec-1996,37.5
Jan-1997,37.8
Feb-1997,38.0
Mar-1997,37.9
Apr-1997,38.3
May-1997,38.3
Jun-1997,37.8
Jul-1997,38.2
Aug-1997,38.6
Sep-1997,38.3
Oct-1997,38.4
Nov-1997,38.3
Dec-1997,38.3
Jan-1998,38.6
Feb-1998,38.1
Mar-1998,38.0
Apr-1998,38.1
May-1998,38.3
Jun-1998,38.4
Jul-1998,38.5
Aug-1998,38.2
Sep-1998,38.3
Oct-1998,38.3
Nov-1998,38.1
Dec-1998,38.3
Jan-1999,38.3
Feb-1999,38.1
Mar-1999,38.0
Apr-1999,38.0
May-1999,37.6
Jun-1999,38.0
Jul-1999,38.3
Aug-1999,38.1
Sep-1999,38.1
Oct-1999,38.2
Nov-1999,38.1
Dec-1999,38.0
Jan-2000,37.9
Feb-2000,37.8
Mar-2000,37.9
Apr-2000,37.6
May-2000,37.7
Jun-2000,37.8
Jul-2000,37.7
Aug-2000,37.8
Sep-2000,37.8
Oct-2000,37.5
Nov-2000,37.7
Dec-2000,37.8
Jan-2001,37.8
Feb-2001,38.1
Mar-2001,38.0
Apr-2001,37.8
May-2001,37.3
Jun-2001,37.5
Jul-2001,37.4
Aug-2001,37.3
Sep-2001,37.3
Oct-2001,37.3
Nov-2001,37.3
Dec-2001,37.6
Jan-2002,37.8
Feb-2002,37.8
Mar-2002,37.9
Apr-2002,38.3
May-2002,38.2
Jun-2002,38.4
Jul-2002,38.2
Aug-2002,38.0
Sep-2002,38.1
Oct-2002,38.1
Nov-2002,38.2
Dec-2002,38.1
Jan-2003,37.7
Feb-2003,38.1
Mar-2003,38.0
Apr-2003,37.6
May-2003,37.7
Jun-2003,37.7
Jul-2003,37.7
Aug-2003,38.0
Sep-2003,38.0
Oct-2003,37.9
Nov-2003,38.4
Dec-2003,37.3
Jan-2004,37.6
Feb-2004,38.1
Mar-2004,37.4
Apr-2004,37.7
May-2004,37.9
Jun-2004,37.4
Jul-2004,37.6
Aug-2004,38.0
Sep-2004,37.7
Oct-2004,37.7
Nov-2004,37.7
Dec-2004,37.4
Jan-2005,37.9
Feb-2005,37.6
Mar-2005,37.6
Apr-2005,37.9
May-2005,38.0
Jun-2005,38.2
Jul-2005,38.2
Aug-2005,38.0
Sep-2005,38.0
Oct-2005,38.3
Nov-2005,38.1
Dec-2005,38.5
Jan-2006,38.2
Feb-2006,38.1
Mar-2006,38.4
Apr-2006,38.3
May-2006,37.9
Jun-2006,38.2
Jul-2006,38.6
Aug-2006,38.1
Sep-2006,38.5
Oct-2006,38.1
Nov-2006,38.3
Dec-2006,38.4
Jan-2007,38.9
Feb-2007,38.6
Mar-2007,38.6
Apr-2007,38.8
May-2007,38.7
Jun-2007,38.8
Jul-2007,38.9
Aug-2007,38.9
Sep-2007,39.0
Oct-2007,39.0
Nov-2007,38.9
Dec-2007,39.1
Jan-2008,38.7
Feb-2008,38.8
Mar-2008,39.2
Apr-2008,38.6
May-2008,38.7
Jun-2008,38.9
Jul-2008,38.7
Aug-2008,38.8
Sep-2008,38.8
Oct-2008,39.0
Nov-2008,39.0
Dec-2008,38.8
Jan-2009,38.7
Feb-2009,39.0
Mar-2009,39.0
Apr-2009,38.9
May-2009,39.0
Jun-2009,38.8
Jul-2009,38.6
Aug-2009,38.8
Sep-2009,38.7
Oct-2009,38.5
Nov-2009,38.7
Dec-2009,38.6
Jan-2010,38.9
Feb-2010,38.8
Mar-2010,38.8
Apr-2010,38.8
May-2010,38.8
Jun-2010,38.5
Jul-2010,38.7
Aug-2010,38.8
Sep-2010,38.7
Oct-2010,38.9
Nov-2010,38.7
Dec-2010,38.5
Jan-2011,38.9
Feb-2011,38.5
Mar-2011,38.2
Apr-2011,38.4
May-2011,38.5
Jun-2011,38.3
Jul-2011,38.3
Aug-2011,37.9
Sep-2011,37.9
Oct-2011,38.6
Nov-2011,38.1
Dec-2011,38.1
Jan-2012,38.3
Feb-2012,38.0
Mar-2012,38.1
Apr-2012,38.6
May-2012,38.0
Jun-2012,38.2
Jul-2012,38.5
Aug-2012,38.2
Sep-2012,38.6
Oct-2012,38.0
Nov-2012,37.9
Dec-2012,38.3
Jan-2013,37.8
Feb-2013,38.2
Mar-2013,38.2
Apr-2013,38.1
May-2013,38.2
Jun-2013,38.7
Jul-2013,38.2
Aug-2013,38.5
Sep-2013,38.6
Oct-2013,38.1
Nov-2013,38.5
Dec-2013,38.6
Jan-2014,38.5
Feb-2014,38.7
Mar-2014,38.6
Apr-2014,38.5
May-2014,38.6
Jun-2014,38.4
Jul-2014,38.4
Aug-2014,38.3
Sep-2014,38.4
Oct-2014,38.3
Nov-2014,38.4
Dec-2014,38.3
Jan-2015,38.2
Feb-2015,38.2
Mar-2015,38.2
Apr-2015,38.3
May-2015,38.4
Jun-2015,38.5
Jul-2015,38.2
Aug-2015,38.4
Sep-2015,38.2
Oct-2015,38.6
Nov-2015,38.5
Dec-2015,38.4
Jan-2016,38.8
Feb-2016,38.5
Mar-2016,38.7
Apr-2016,38.6
May-2016,38.5
Jun-2016,38.3
Jul-2016,38.4
Aug-2016,38.4
Sep-2016,38.3
Oct-2016,38.2
Nov-2016,38.2
Dec-2016,38.1
Jan-2017,38.1
Feb-2017,38.0
Mar-2017,37.9
Apr-2017,38.1
May-2017,38.0
Jun-2017,38.1
Jul-2017,38.3
Aug-2017,37.9
Sep-2017,38.1
Oct-2017,38.3
Nov-2017,38.2
Dec-2017,38.1
Jan-2018,38.3
Feb-2018,38.3
Mar-2018,38.0
Apr-2018,38.2
May-2018,38.1
Jun-2018,38.2
Jul-2018,38.1
Aug-2018,38.1
Sep-2018,38.3
Oct-2018,38.0
Nov-2018,38.0
Dec-2018,38.3
Jan-2019,38.1
Feb-2019,38.1
Mar-2019,38.3
Apr-2019,38.1
May-2019,38.3
Jun-2019,38.6
Jul-2019,38.1
Aug-2019,38.6
Sep-2019,38.5
Oct-2019,38.5
Nov-2019,38.6
Dec-2019,38.5
Jan-2020,38.0
Feb-2020,38.9
Mar-2020,38.4
Apr-2020,38.1
May-2020,38.6
Jun-2020,38.3
Jul-2020,38.3
Aug-2020,38.7
Sep-2020,38.3
Oct-2020,38.4
Nov-2020,38.4
Dec-2020,38.4
Jan-2021,39.2
Feb-2021,38.4
Mar-2021,38.5
Apr-2021,38.5
May-2021,38.6
Jun-2021,38.6
Jul-2021,38.7
Aug-2021,38.6
Sep-2021,38.7
Oct-2021,38.7
Nov-2021,38.5
Dec-2021,38.4
Jan-2022,38.7
