time, All employees thousands engineering and drafting services not seasonally 
Jan-1990,611.3
Feb-1990,615.5
Mar-1990,621.0
Apr-1990,622.2
May-1990,624.6
Jun-1990,633.9
Jul-1990,636.6
Aug-1990,634.9
Sep-1990,623.0
Oct-1990,620.5
Nov-1990,618.6
Dec-1990,613.2
Jan-1991,606.3
Feb-1991,601.0
Mar-1991,597.9
Apr-1991,596.4
May-1991,598.3
Jun-1991,602.1
Jul-1991,604.8
Aug-1991,605.0
Sep-1991,601.5
Oct-1991,598.7
Nov-1991,595.1
Dec-1991,593.6
Jan-1992,590.7
Feb-1992,590.0
Mar-1992,591.5
Apr-1992,591.6
May-1992,596.6
Jun-1992,603.3
Jul-1992,604.1
Aug-1992,606.2
Sep-1992,603.0
Oct-1992,601.7
Nov-1992,602.6
Dec-1992,602.4
Jan-1993,600.2
Feb-1993,600.0
Mar-1993,606.6
Apr-1993,603.9
May-1993,611.3
Jun-1993,618.4
Jul-1993,619.3
Aug-1993,618.2
Sep-1993,616.0
Oct-1993,614.4
Nov-1993,612.8
Dec-1993,607.1
Jan-1994,598.9
Feb-1994,602.8
Mar-1994,605.6
Apr-1994,609.1
May-1994,617.5
Jun-1994,627.5
Jul-1994,633.0
Aug-1994,636.0
Sep-1994,636.9
Oct-1994,635.1
Nov-1994,636.0
Dec-1994,636.9
Jan-1995,635.5
Feb-1995,635.9
Mar-1995,638.5
Apr-1995,642.4
May-1995,649.1
Jun-1995,658.7
Jul-1995,660.1
Aug-1995,663.5
Sep-1995,659.2
Oct-1995,660.0
Nov-1995,659.8
Dec-1995,658.7
Jan-1996,651.3
Feb-1996,651.7
Mar-1996,656.8
Apr-1996,659.3
May-1996,663.7
Jun-1996,672.6
Jul-1996,671.2
Aug-1996,674.5
Sep-1996,671.0
Oct-1996,671.7
Nov-1996,673.6
Dec-1996,670.4
Jan-1997,665.7
Feb-1997,669.0
Mar-1997,673.2
Apr-1997,675.0
May-1997,678.4
Jun-1997,688.3
Jul-1997,692.3
Aug-1997,696.0
Sep-1997,690.9
Oct-1997,693.3
Nov-1997,692.9
Dec-1997,695.3
Jan-1998,691.6
Feb-1998,690.2
Mar-1998,694.7
Apr-1998,699.5
May-1998,707.1
Jun-1998,721.9
Jul-1998,724.7
Aug-1998,726.8
Sep-1998,720.9
Oct-1998,720.7
Nov-1998,722.1
Dec-1998,721.1
Jan-1999,719.1
Feb-1999,721.7
Mar-1999,727.1
Apr-1999,732.0
May-1999,739.6
Jun-1999,751.8
Jul-1999,758.0
Aug-1999,760.0
Sep-1999,752.9
Oct-1999,759.7
Nov-1999,760.8
Dec-1999,762.1
Jan-2000,763.7
Feb-2000,767.3
Mar-2000,771.9
Apr-2000,776.9
May-2000,786.5
Jun-2000,805.5
Jul-2000,809.8
Aug-2000,813.8
Sep-2000,808.7
Oct-2000,809.6
Nov-2000,807.7
Dec-2000,809.2
Jan-2001,807.9
Feb-2001,810.4
Mar-2001,812.3
Apr-2001,813.4
May-2001,816.6
Jun-2001,828.9
Jul-2001,830.1
Aug-2001,829.0
Sep-2001,816.3
Oct-2001,811.9
Nov-2001,805.2
Dec-2001,797.9
Jan-2002,791.2
Feb-2002,784.7
Mar-2002,784.3
Apr-2002,785.8
May-2002,791.8
Jun-2002,799.5
Jul-2002,797.6
Aug-2002,798.8
Sep-2002,786.4
Oct-2002,788.0
Nov-2002,784.9
Dec-2002,781.1
Jan-2003,766.8
Feb-2003,768.6
Mar-2003,768.1
Apr-2003,768.2
May-2003,773.4
Jun-2003,777.9
Jul-2003,783.8
Aug-2003,784.1
Sep-2003,779.1
Oct-2003,781.3
Nov-2003,779.8
Dec-2003,779.2
Jan-2004,770.6
Feb-2004,771.5
Mar-2004,777.6
Apr-2004,786.0
May-2004,793.5
Jun-2004,803.1
Jul-2004,805.0
Aug-2004,806.3
Sep-2004,805.3
Oct-2004,816.5
Nov-2004,818.4
Dec-2004,818.1
Jan-2005,806.9
Feb-2005,809.2
Mar-2005,813.0
Apr-2005,819.4
May-2005,825.5
Jun-2005,844.0
Jul-2005,847.9
Aug-2005,854.2
Sep-2005,857.1
Oct-2005,863.6
Nov-2005,872.0
Dec-2005,864.7
Jan-2006,856.1
Feb-2006,857.6
Mar-2006,866.6
Apr-2006,869.2
May-2006,878.7
Jun-2006,897.9
Jul-2006,907.9
Aug-2006,907.4
Sep-2006,902.2
Oct-2006,904.5
Nov-2006,902.3
Dec-2006,898.0
Jan-2007,895.0
Feb-2007,895.6
Mar-2007,902.8
Apr-2007,904.9
May-2007,915.8
Jun-2007,929.5
Jul-2007,936.2
Aug-2007,936.0
Sep-2007,933.2
Oct-2007,938.0
Nov-2007,939.1
Dec-2007,940.3
Jan-2008,932.8
Feb-2008,935.2
Mar-2008,934.6
Apr-2008,938.2
May-2008,940.3
Jun-2008,951.1
Jul-2008,957.0
Aug-2008,955.0
Sep-2008,940.9
Oct-2008,943.7
Nov-2008,936.0
Dec-2008,931.5
Jan-2009,918.4
Feb-2009,910.7
Mar-2009,899.4
Apr-2009,894.9
May-2009,891.6
Jun-2009,893.9
Jul-2009,889.3
Aug-2009,887.2
Sep-2009,882.6
Oct-2009,883.3
Nov-2009,880.3
Dec-2009,880.1
Jan-2010,863.2
Feb-2010,860.9
Mar-2010,863.7
Apr-2010,864.2
May-2010,866.8
Jun-2010,875.2
Jul-2010,879.8
Aug-2010,881.3
Sep-2010,869.3
Oct-2010,872.3
Nov-2010,873.3
Dec-2010,874.3
Jan-2011,858.8
Feb-2011,868.2
Mar-2011,870.1
Apr-2011,877.5
May-2011,879.9
Jun-2011,892.8
Jul-2011,897.8
Aug-2011,898.2
Sep-2011,890.8
Oct-2011,889.8
Nov-2011,891.6
Dec-2011,889.7
Jan-2012,884.6
Feb-2012,886.6
Mar-2012,888.2
Apr-2012,894.7
May-2012,900.0
Jun-2012,907.5
Jul-2012,910.1
Aug-2012,914.9
Sep-2012,908.3
Oct-2012,910.7
Nov-2012,909.0
Dec-2012,910.9
Jan-2013,900.5
Feb-2013,900.5
Mar-2013,905.1
Apr-2013,911.0
May-2013,918.0
Jun-2013,925.7
Jul-2013,927.3
Aug-2013,927.0
Sep-2013,915.9
Oct-2013,922.0
Nov-2013,919.1
Dec-2013,919.5
Jan-2014,909.7
Feb-2014,904.2
Mar-2014,907.8
Apr-2014,914.4
May-2014,922.5
Jun-2014,935.0
Jul-2014,942.9
Aug-2014,941.3
Sep-2014,936.8
Oct-2014,938.1
Nov-2014,939.7
Dec-2014,940.0
Jan-2015,931.3
Feb-2015,930.2
Mar-2015,934.1
Apr-2015,937.8
May-2015,946.3
Jun-2015,954.0
Jul-2015,958.5
Aug-2015,951.2
Sep-2015,944.0
Oct-2015,950.8
Nov-2015,944.5
Dec-2015,943.8
Jan-2016,936.9
Feb-2016,934.6
Mar-2016,931.8
Apr-2016,934.1
May-2016,940.8
Jun-2016,953.3
Jul-2016,959.2
Aug-2016,955.3
Sep-2016,943.3
Oct-2016,950.0
Nov-2016,947.2
Dec-2016,947.6
Jan-2017,942.2
Feb-2017,943.4
Mar-2017,947.7
Apr-2017,954.9
May-2017,959.7
Jun-2017,973.4
Jul-2017,974.8
Aug-2017,975.9
Sep-2017,970.2
Oct-2017,976.6
Nov-2017,972.8
Dec-2017,972.7
Jan-2018,962.0
Feb-2018,964.6
Mar-2018,966.8
Apr-2018,971.9
May-2018,981.9
Jun-2018,996.2
Jul-2018,1003.3
Aug-2018,1005.1
Sep-2018,992.9
Oct-2018,1001.8
Nov-2018,1001.1
Dec-2018,1000.4
Jan-2019,991.1
Feb-2019,994.1
Mar-2019,998.8
Apr-2019,1003.4
May-2019,1012.6
Jun-2019,1028.4
Jul-2019,1037.5
Aug-2019,1035.2
Sep-2019,1024.9
Oct-2019,1027.6
Nov-2019,1030.9
Dec-2019,1034.6
Jan-2020,1025.8
Feb-2020,1032.0
Mar-2020,1029.7
Apr-2020,995.3
May-2020,993.6
Jun-2020,1014.4
Jul-2020,1023.4
Aug-2020,1024.5
Sep-2020,1020.6
Oct-2020,1026.9
Nov-2020,1025.3
Dec-2020,1026.9
Jan-2021,1015.2
Feb-2021,1017.2
Mar-2021,1017.4
Apr-2021,1028.4
May-2021,1036.9
Jun-2021,1052.4
Jul-2021,1064.8
Aug-2021,1067.8
Sep-2021,1065.1
Oct-2021,1072.7
Nov-2021,1077.9
Dec-2021,1083.7
Jan-2022,1074.0
Feb-2022,1076.9
Mar-2022,1080.4
Apr-2022,1088.6
May-2022,1097.2
Jun-2022,1079.929972855828
Jul-2022,1036.4803361180075
Aug-2022,999.8900646681141
Sep-2022,1021.1591585061396
Oct-2022,1001.2876176320933
Nov-2022,1009.2754420459751
Dec-2022,1100.1226317477849
Jan-2023,1052.2388484233404
Feb-2023,1044.4657745477473
Mar-2023,1046.9685270291156
Apr-2023,1061.5165919620229
May-2023,1049.7242385823286
Jun-2023,1062.4206230105242
Jul-2023,1040.8308067889216
Aug-2023,1044.5031203637275
Sep-2023,1070.3154994150475
Oct-2023,1061.2302095993239
Nov-2023,1053.944340683574
Dec-2023,1073.3033028853527
Jan-2024,1073.0888059142246
Feb-2024,1064.799419111231
Mar-2024,1065.5672971176964
Apr-2024,1058.7135826905683
May-2024,1079.4269848759534
Jun-2024,1072.8817486545977
Jul-2024,1050.6492345357838
Aug-2024,1062.2217052946132
Sep-2024,1063.1221117982195
Oct-2024,1056.8160287101182
Nov-2024,1064.6774656665316
Dec-2024,1094.616270275374
Jan-2025,1075.5126949314467
Feb-2025,1090.3136736791935
Mar-2025,1088.843352464988
Apr-2025,1079.5952053130968
May-2025,1080.7898545680912
Jun-2025,1097.6122901946846
Jul-2025,1079.1853066204085
Aug-2025,1085.910454135972
Sep-2025,1092.5241288884845
Oct-2025,1090.1402898075503
Nov-2025,1082.4883674545733
Dec-2025,1096.054989925622
Jan-2026,1083.2848437783703
Feb-2026,1101.3048638622429
Mar-2026,1089.1380681283417
Apr-2026,1102.2240623674131
May-2026,1104.6342215939287
Jun-2026,1097.4515112156603
Jul-2026,1085.8950509548863
Aug-2026,1091.426427911757
Sep-2026,1115.3172275510872
Oct-2026,1087.293247619722
Nov-2026,1099.4498309878918
Dec-2026,1093.57779437585
Jan-2027,1094.520753866549
Feb-2027,1104.1568531764492
Mar-2027,1121.9207537174245
Apr-2027,1102.6144603543974
May-2027,1099.876091481615
Jun-2027,1121.9614103918047
Jul-2027,1116.8162098688426
Aug-2027,1117.2087569282592
Sep-2027,1108.7662844524664
Oct-2027,1121.4521866405028
Nov-2027,1100.0546829969023
Dec-2027,1098.8732050907302
Jan-2028,1114.2318857827395
Feb-2028,1134.293572864982
Mar-2028,1129.2635795572476
Apr-2028,1119.6626303028638
May-2028,1129.5468012892645
Jun-2028,1127.8345508353614
Jul-2028,1136.1194723641042
Aug-2028,1127.057456584884
Sep-2028,1129.7041887539451
Oct-2028,1136.6137166553747
Nov-2028,1134.1486489619476
Dec-2028,1125.2051353759618
Jan-2029,1120.7138348328692
Feb-2029,1129.2242846460456
Mar-2029,1115.960236089094
Apr-2029,1136.6507846708098
May-2029,1149.2726105605836
Jun-2029,1150.4321866806251
Jul-2029,1135.9226019028215
Aug-2029,1146.144293943167
Sep-2029,1142.178978494745
Oct-2029,1167.3592029854844
Nov-2029,1159.7299964024394
Dec-2029,1142.9802537064297
Jan-2030,1174.2576607723638
Feb-2030,1137.190399375792
Mar-2030,1133.9143099804865
Apr-2030,1148.2206550812948
May-2030,1147.726495275332
Jun-2030,1148.0058854524484
Jul-2030,1143.3135535975375
Aug-2030,1171.0088582322953
Sep-2030,1154.2167566079322
Oct-2030,1170.4700939111235
Nov-2030,1144.1998180511732
Dec-2030,1154.5852942336019
Jan-2031,1163.2279124097397
Feb-2031,1153.595386588452
Mar-2031,1162.2578053083403
Apr-2031,1156.693664478798
May-2031,1147.836323954898
Jun-2031,1173.1327779669036
Jul-2031,1172.419708281304
Aug-2031,1189.2856239320295
Sep-2031,1179.4233820666302
Oct-2031,1178.051627172352
Nov-2031,1162.7733257943407
Dec-2031,1160.5616718436872
Jan-2032,1142.8286773521577
Feb-2032,1173.0301627755941
