time, Average hourly earnings of production and nonsupervisory employees 1982-84 dollars architectural and engineering services not seasonally 
Jan-1990,11.3
Feb-1990,11.34
Mar-1990,11.27
Apr-1990,11.34
May-1990,11.22
Jun-1990,11.08
Jul-1990,11.17
Aug-1990,11.01
Sep-1990,11.16
Oct-1990,11.07
Nov-1990,11.1
Dec-1990,11.26
Jan-1991,11.22
Feb-1991,11.3
Mar-1991,11.32
Apr-1991,11.25
May-1991,11.2
Jun-1991,11.19
Jul-1991,11.12
Aug-1991,11.17
Sep-1991,11.33
Oct-1991,11.3
Nov-1991,11.33
Dec-1991,11.46
Jan-1992,11.43
Feb-1992,11.52
Mar-1992,11.45
Apr-1992,11.33
May-1992,11.29
Jun-1992,11.15
Jul-1992,11.13
Aug-1992,11.24
Sep-1992,11.29
Oct-1992,11.28
Nov-1992,11.34
Dec-1992,11.25
Jan-1993,11.28
Feb-1993,11.32
Mar-1993,11.28
Apr-1993,11.19
May-1993,11.19
Jun-1993,11.0
Jul-1993,11.02
Aug-1993,11.1
Sep-1993,11.17
Oct-1993,11.17
Nov-1993,11.15
Dec-1993,11.22
Jan-1994,11.32
Feb-1994,11.24
Mar-1994,11.21
Apr-1994,11.22
May-1994,11.21
Jun-1994,11.01
Jul-1994,11.05
Aug-1994,10.98
Sep-1994,11.1
Oct-1994,11.22
Nov-1994,11.17
Dec-1994,11.24
Jan-1995,11.28
Feb-1995,11.28
Mar-1995,11.26
Apr-1995,11.28
May-1995,11.2
Jun-1995,11.06
Jul-1995,11.15
Aug-1995,11.11
Sep-1995,11.25
Oct-1995,11.33
Nov-1995,11.28
Dec-1995,11.37
Jan-1996,11.34
Feb-1996,11.37
Mar-1996,11.36
Apr-1996,11.32
May-1996,11.24
Jun-1996,11.25
Jul-1996,11.19
Aug-1996,11.26
Sep-1996,11.45
Oct-1996,11.36
Nov-1996,11.42
Dec-1996,11.57
Jan-1997,11.59
Feb-1997,11.69
Mar-1997,11.76
Apr-1997,11.67
May-1997,11.59
Jun-1997,11.57
Jul-1997,11.48
Aug-1997,11.53
Sep-1997,11.64
Oct-1997,11.72
Nov-1997,11.87
Dec-1997,11.92
Jan-1998,11.91
Feb-1998,12.04
Mar-1998,12.06
Apr-1998,11.92
May-1998,11.84
Jun-1998,11.75
Jul-1998,11.71
Aug-1998,11.81
Sep-1998,11.92
Oct-1998,11.94
Nov-1998,12.03
Dec-1998,12.01
Jan-1999,12.03
Feb-1999,12.07
Mar-1999,12.06
Apr-1999,11.99
May-1999,11.97
Jun-1999,11.79
Jul-1999,11.86
Aug-1999,11.94
Sep-1999,11.99
Oct-1999,12.08
Nov-1999,12.12
Dec-1999,12.2
Jan-2000,12.26
Feb-2000,12.26
Mar-2000,12.19
Apr-2000,12.24
May-2000,12.1
Jun-2000,11.89
Jul-2000,11.97
Aug-2000,11.98
Sep-2000,12.16
Oct-2000,12.23
Nov-2000,12.11
Dec-2000,12.21
Jan-2001,12.13
Feb-2001,12.22
Mar-2001,12.16
Apr-2001,12.19
May-2001,12.02
Jun-2001,11.87
Jul-2001,11.97
Aug-2001,12.0
Sep-2001,12.17
Oct-2001,12.25
Nov-2001,12.26
Dec-2001,12.44
Jan-2002,12.42
Feb-2002,12.48
Mar-2002,12.38
Apr-2002,12.2
May-2002,12.14
Jun-2002,12.11
Jul-2002,12.03
Aug-2002,12.13
Sep-2002,12.31
Oct-2002,12.3
Nov-2002,12.29
Dec-2002,12.51
Jan-2003,12.4
Feb-2003,12.43
Mar-2003,12.37
Apr-2003,12.3
May-2003,12.42
Jun-2003,12.42
Jul-2003,12.41
Aug-2003,12.44
Sep-2003,12.6
Oct-2003,12.68
Nov-2003,12.86
Dec-2003,12.81
Jan-2004,12.84
Feb-2004,12.84
Mar-2004,12.62
Apr-2004,12.6
May-2004,12.63
Jun-2004,12.35
Jul-2004,12.44
Aug-2004,12.6
Sep-2004,12.56
Oct-2004,12.53
Nov-2004,12.53
Dec-2004,12.69
Jan-2005,12.8
Feb-2005,12.72
Mar-2005,12.65
Apr-2005,12.64
May-2005,12.67
Jun-2005,12.46
Jul-2005,12.46
Aug-2005,12.37
Sep-2005,12.28
Oct-2005,12.51
Nov-2005,12.49
Dec-2005,12.52
Jan-2006,12.67
Feb-2006,12.58
Mar-2006,12.55
Apr-2006,12.59
May-2006,12.38
Jun-2006,12.32
Jul-2006,12.45
Aug-2006,12.31
Sep-2006,12.66
Oct-2006,12.9
Nov-2006,12.88
Dec-2006,12.95
Jan-2007,12.96
Feb-2007,12.98
Mar-2007,13.01
Apr-2007,13.01
May-2007,12.84
Jun-2007,12.75
Jul-2007,12.99
Aug-2007,12.96
Sep-2007,13.09
Oct-2007,12.97
Nov-2007,12.99
Dec-2007,13.14
Jan-2008,13.06
Feb-2008,13.18
Mar-2008,13.1
Apr-2008,13.04
May-2008,12.96
Jun-2008,12.74
Jul-2008,12.66
Aug-2008,12.87
Sep-2008,13.05
Oct-2008,13.34
Nov-2008,13.94
Dec-2008,13.98
Jan-2009,13.91
Feb-2009,14.08
Mar-2009,14.08
Apr-2009,13.89
May-2009,13.78
Jun-2009,13.57
Jul-2009,13.68
Aug-2009,13.84
Sep-2009,13.87
Oct-2009,13.98
Nov-2009,14.16
Dec-2009,14.31
Jan-2010,14.19
Feb-2010,14.22
Mar-2010,14.21
Apr-2010,14.19
May-2010,14.24
Jun-2010,14.04
Jul-2010,14.06
Aug-2010,14.12
Sep-2010,14.07
Oct-2010,14.08
Nov-2010,14.09
Dec-2010,13.99
Jan-2011,13.96
Feb-2011,13.8
Mar-2011,13.57
Apr-2011,13.49
May-2011,13.37
Jun-2011,13.18
Jul-2011,13.24
Aug-2011,13.2
Sep-2011,13.3
Oct-2011,13.49
Nov-2011,13.37
Dec-2011,13.45
Jan-2012,13.43
Feb-2012,13.33
Mar-2012,13.18
Apr-2012,13.23
May-2012,13.12
Jun-2012,13.08
Jul-2012,13.23
Aug-2012,13.08
Sep-2012,13.21
Oct-2012,13.22
Nov-2012,13.31
Dec-2012,13.57
Jan-2013,13.41
Feb-2013,13.42
Mar-2013,13.36
Apr-2013,13.34
May-2013,13.24
Jun-2013,13.23
Jul-2013,13.16
Aug-2013,13.11
Sep-2013,13.34
Oct-2013,13.32
Nov-2013,13.44
Dec-2013,13.52
Jan-2014,13.47
Feb-2014,13.52
Mar-2014,13.5
Apr-2014,13.39
May-2014,13.35
Jun-2014,13.3
Jul-2014,13.24
Aug-2014,13.34
Sep-2014,13.46
Oct-2014,13.5
Nov-2014,13.74
Dec-2014,13.82
Jan-2015,13.99
Feb-2015,14.08
Mar-2015,14.0
Apr-2015,13.93
May-2015,13.81
Jun-2015,13.58
Jul-2015,13.63
Aug-2015,13.74
Sep-2015,13.89
Oct-2015,13.93
Nov-2015,14.04
Dec-2015,14.1
Jan-2016,14.09
Feb-2016,14.17
Mar-2016,14.1
Apr-2016,14.01
May-2016,13.95
Jun-2016,13.75
Jul-2016,13.8
Aug-2016,13.78
Sep-2016,13.9
Oct-2016,13.99
Nov-2016,13.99
Dec-2016,14.03
Jan-2017,14.03
Feb-2017,13.97
Mar-2017,13.99
Apr-2017,14.05
May-2017,13.88
Jun-2017,13.87
Jul-2017,13.95
Aug-2017,13.91
Sep-2017,14.02
Oct-2017,14.17
Nov-2017,14.12
Dec-2017,14.24
Jan-2018,14.11
Feb-2018,14.11
Mar-2018,14.14
Apr-2018,14.17
May-2018,14.02
Jun-2018,13.85
Jul-2018,13.93
Aug-2018,13.97
Sep-2018,14.16
Oct-2018,14.07
Nov-2018,14.14
Dec-2018,14.34
Jan-2019,14.29
Feb-2019,14.33
Mar-2019,14.3
Apr-2019,14.16
May-2019,14.0
Jun-2019,13.89
Jul-2019,13.88
Aug-2019,13.87
Sep-2019,14.03
Oct-2019,13.87
Nov-2019,13.95
Dec-2019,14.06
Jan-2020,14.0
Feb-2020,14.13
Mar-2020,14.16
Apr-2020,14.29
May-2020,14.25
Jun-2020,14.11
Jul-2020,14.06
Aug-2020,14.14
Sep-2020,14.01
Oct-2020,14.13
Nov-2020,14.21
Dec-2020,14.29
Jan-2021,14.23
Feb-2021,14.13
Mar-2021,14.1
Apr-2021,13.95
May-2021,13.93
Jun-2021,13.63
Jul-2021,13.58
Aug-2021,13.79
Sep-2021,13.86
Oct-2021,13.84
Nov-2021,13.68
Dec-2021,13.79
Jan-2022,13.89
Feb-2022,13.79
Mar-2022,13.66
Apr-2022,13.61
May-2022,13.53
Jun-2022,14.25073750754227
Jul-2022,14.256171693236526
Aug-2022,14.261587554151975
Sep-2022,14.266985090288612
Oct-2022,14.272364301646437
Nov-2022,14.277725188225457
Dec-2022,14.283067750025662
Jan-2023,14.523419451399464
Feb-2023,14.409487542063458
Mar-2023,14.437369163040113
Apr-2023,14.631258120900652
May-2023,14.462084607694253
Jun-2023,14.63030190945506
Jul-2023,14.326443539117427
Aug-2023,14.370430843636285
Sep-2023,14.718853684930874
Oct-2023,14.587277232620295
Nov-2023,14.480551391723893
Dec-2023,14.739848183547906
Jan-2024,14.730234497372512
