time, Average hourly earnings of production and nonsupervisory employees architectural and engineering services not seasonally 
Jan-1990,14.23
Feb-1990,14.34
Mar-1990,14.32
Apr-1990,14.43
May-1990,14.3
Jun-1990,14.22
Jul-1990,14.38
Aug-1990,14.3
Sep-1990,14.63
Oct-1990,14.6
Nov-1990,14.68
Dec-1990,14.89
Jan-1991,14.9
Feb-1991,15.01
Mar-1991,15.05
Apr-1991,14.99
May-1991,14.98
Jun-1991,15.0
Jul-1991,14.93
Aug-1991,15.03
Sep-1991,15.32
Oct-1991,15.3
Nov-1991,15.39
Dec-1991,15.58
Jan-1992,15.54
Feb-1992,15.71
Mar-1992,15.68
Apr-1992,15.55
May-1992,15.53
Jun-1992,15.4
Jul-1992,15.41
Aug-1992,15.6
Sep-1992,15.71
Oct-1992,15.75
Nov-1992,15.85
Dec-1992,15.73
Jan-1993,15.83
Feb-1993,15.93
Mar-1993,15.92
Apr-1993,15.84
May-1993,15.88
Jun-1993,15.62
Jul-1993,15.66
Aug-1993,15.8
Sep-1993,15.93
Oct-1993,16.01
Nov-1993,15.99
Dec-1993,16.08
Jan-1994,16.25
Feb-1994,16.19
Mar-1994,16.19
Apr-1994,16.23
May-1994,16.25
Jun-1994,16.01
Jul-1994,16.11
Aug-1994,16.09
Sep-1994,16.3
Oct-1994,16.5
Nov-1994,16.46
Dec-1994,16.55
Jan-1995,16.67
Feb-1995,16.73
Mar-1995,16.74
Apr-1995,16.84
May-1995,16.76
Jun-1995,16.58
Jul-1995,16.72
Aug-1995,16.68
Sep-1995,16.95
Oct-1995,17.11
Nov-1995,17.02
Dec-1995,17.15
Jan-1996,17.2
Feb-1996,17.31
Mar-1996,17.37
Apr-1996,17.38
May-1996,17.31
Jun-1996,17.34
Jul-1996,17.27
Aug-1996,17.39
Sep-1996,17.76
Oct-1996,17.66
Nov-1996,17.8
Dec-1996,18.03
Jan-1997,18.11
Feb-1997,18.33
Mar-1997,18.46
Apr-1997,18.34
May-1997,18.22
Jun-1997,18.21
Jul-1997,18.08
Aug-1997,18.19
Sep-1997,18.43
Oct-1997,18.57
Nov-1997,18.82
Dec-1997,18.85
Jan-1998,18.86
Feb-1998,19.09
Mar-1998,19.14
Apr-1998,18.97
May-1998,18.88
Jun-1998,18.76
Jul-1998,18.71
Aug-1998,18.9
Sep-1998,19.09
Oct-1998,19.18
Nov-1998,19.34
Dec-1998,19.3
Jan-1999,19.37
Feb-1999,19.44
Mar-1999,19.47
Apr-1999,19.5
May-1999,19.48
Jun-1999,19.19
Jul-1999,19.36
Aug-1999,19.56
Sep-1999,19.74
Oct-1999,19.93
Nov-1999,20.01
Dec-1999,20.14
Jan-2000,20.3
Feb-2000,20.42
Mar-2000,20.46
Apr-2000,20.57
May-2000,20.35
