time, Average weekly hours of production and nonsupervisory employees custom computer programming services seasonally 
Jan-1990,39.2
Feb-1990,39.1
Mar-1990,39.1
Apr-1990,38.9
May-1990,38.9
Jun-1990,39.2
Jul-1990,38.6
Aug-1990,39.1
Sep-1990,39.1
Oct-1990,39.1
Nov-1990,39.0
Dec-1990,39.0
Jan-1991,38.7
Feb-1991,38.7
Mar-1991,38.8
Apr-1991,38.9
May-1991,38.9
Jun-1991,38.7
Jul-1991,38.6
Aug-1991,38.8
Sep-1991,38.7
Oct-1991,38.7
Nov-1991,39.0
Dec-1991,38.5
Jan-1992,39.0
Feb-1992,38.9
Mar-1992,38.7
Apr-1992,38.9
May-1992,38.9
Jun-1992,38.5
Jul-1992,39.2
Aug-1992,39.0
Sep-1992,38.6
Oct-1992,38.4
Nov-1992,38.4
Dec-1992,38.4
Jan-1993,39.1
Feb-1993,38.9
Mar-1993,38.9
Apr-1993,38.5
May-1993,38.5
Jun-1993,38.6
Jul-1993,38.9
Aug-1993,38.6
Sep-1993,38.9
Oct-1993,39.1
Nov-1993,38.9
Dec-1993,39.0
Jan-1994,38.5
Feb-1994,38.5
Mar-1994,38.5
Apr-1994,38.5
May-1994,38.3
Jun-1994,38.2
Jul-1994,38.3
Aug-1994,38.2
Sep-1994,38.2
Oct-1994,38.2
Nov-1994,38.0
Dec-1994,38.3
Jan-1995,38.5
Feb-1995,38.6
Mar-1995,38.2
Apr-1995,38.7
May-1995,38.3
Jun-1995,38.7
Jul-1995,38.6
Aug-1995,38.5
Sep-1995,38.6
Oct-1995,38.5
Nov-1995,38.6
Dec-1995,38.5
Jan-1996,38.3
Feb-1996,38.4
Mar-1996,38.5
Apr-1996,38.5
May-1996,38.7
Jun-1996,38.7
Jul-1996,38.5
Aug-1996,38.7
Sep-1996,38.4
Oct-1996,38.6
Nov-1996,38.8
Dec-1996,38.7
Jan-1997,38.8
Feb-1997,38.9
Mar-1997,39.1
Apr-1997,39.0
May-1997,39.0
Jun-1997,38.5
Jul-1997,38.8
Aug-1997,39.2
Sep-1997,39.0
Oct-1997,38.8
Nov-1997,38.8
Dec-1997,38.6
Jan-1998,38.7
Feb-1998,38.3
Mar-1998,38.5
Apr-1998,38.5
May-1998,38.5
Jun-1998,38.6
Jul-1998,38.7
Aug-1998,38.8
Sep-1998,38.8
Oct-1998,38.9
Nov-1998,38.9
Dec-1998,38.9
Jan-1999,38.9
Feb-1999,38.7
Mar-1999,38.6
Apr-1999,38.6
May-1999,38.6
Jun-1999,38.0
Jul-1999,38.7
Aug-1999,38.5
Sep-1999,38.4
Oct-1999,38.4
Nov-1999,38.5
Dec-1999,38.0
Jan-2000,38.2
Feb-2000,38.1
Mar-2000,38.2
Apr-2000,38.0
May-2000,38.0
Jun-2000,38.4
Jul-2000,38.2
Aug-2000,38.1
Sep-2000,38.1
Oct-2000,38.1
Nov-2000,38.2
Dec-2000,38.4
Jan-2001,38.3
Feb-2001,38.6
Mar-2001,38.3
Apr-2001,38.2
May-2001,38.0
Jun-2001,38.0
Jul-2001,38.1
Aug-2001,37.9
Sep-2001,37.9
Oct-2001,37.9
Nov-2001,38.1
Dec-2001,38.1
Jan-2002,38.5
Feb-2002,38.4
Mar-2002,38.6
Apr-2002,38.8
May-2002,38.9
Jun-2002,38.9
Jul-2002,38.9
Aug-2002,38.9
Sep-2002,39.0
Oct-2002,38.7
Nov-2002,38.7
Dec-2002,38.9
Jan-2003,38.4
Feb-2003,38.9
Mar-2003,39.1
Apr-2003,38.6
May-2003,38.8
Jun-2003,38.9
Jul-2003,38.8
Aug-2003,38.8
Sep-2003,38.7
Oct-2003,38.4
Nov-2003,38.9
Dec-2003,38.5
Jan-2004,38.3
Feb-2004,38.3
Mar-2004,38.1
