time, Women employees thousands computer systems design and related services not seasonally 
Jan-1990,148.6
Feb-1990,149.2
Mar-1990,149.4
Apr-1990,148.5
May-1990,148.0
Jun-1990,148.0
Jul-1990,147.5
Aug-1990,147.1
Sep-1990,145.9
Oct-1990,146.1
Nov-1990,145.7
Dec-1990,145.1
Jan-1991,144.2
Feb-1991,145.0
Mar-1991,145.0
Apr-1991,145.4
May-1991,146.5
Jun-1991,147.2
Jul-1991,146.9
Aug-1991,147.2
Sep-1991,146.7
Oct-1991,148.0
Nov-1991,148.3
Dec-1991,149.6
Jan-1992,150.6
Feb-1992,151.4
Mar-1992,151.7
Apr-1992,152.1
May-1992,151.7
Jun-1992,152.3
Jul-1992,153.7
Aug-1992,154.5
Sep-1992,156.9
Oct-1992,158.2
Nov-1992,159.7
Dec-1992,160.8
Jan-1993,162.4
Feb-1993,164.2
Mar-1993,165.4
Apr-1993,163.9
May-1993,164.1
Jun-1993,165.2
Jul-1993,165.5
Aug-1993,166.4
Sep-1993,166.4
Oct-1993,168.3
Nov-1993,169.4
Dec-1993,171.0
Jan-1994,170.9
Feb-1994,172.2
Mar-1994,173.3
Apr-1994,174.4
May-1994,174.9
Jun-1994,177.0
Jul-1994,178.2
Aug-1994,180.1
Sep-1994,181.4
Oct-1994,184.0
Nov-1994,187.0
Dec-1994,188.5
Jan-1995,190.6
Feb-1995,191.1
Mar-1995,193.4
Apr-1995,195.3
May-1995,197.5
Jun-1995,201.9
Jul-1995,203.3
Aug-1995,205.9
Sep-1995,207.2
Oct-1995,210.2
Nov-1995,213.2
Dec-1995,215.8
Jan-1996,216.9
Feb-1996,219.6
Mar-1996,221.4
Apr-1996,224.6
May-1996,226.6
Jun-1996,228.3
Jul-1996,231.2
Aug-1996,236.2
Sep-1996,236.9
Oct-1996,240.9
Nov-1996,245.0
Dec-1996,248.9
Jan-1997,250.9
Feb-1997,254.0
Mar-1997,258.3
Apr-1997,261.4
May-1997,263.5
Jun-1997,267.1
Jul-1997,269.5
Aug-1997,274.3
Sep-1997,276.4
Oct-1997,280.3
Nov-1997,283.1
Dec-1997,286.9
Jan-1998,289.2
Feb-1998,293.3
Mar-1998,295.5
Apr-1998,300.8
May-1998,303.8
Jun-1998,310.2
Jul-1998,314.6
Aug-1998,316.5
Sep-1998,321.6
Oct-1998,327.3
Nov-1998,333.1
Dec-1998,337.1
Jan-1999,338.1
Feb-1999,342.7
Mar-1999,345.2
Apr-1999,350.6
May-1999,355.5
Jun-1999,363.5
Jul-1999,367.3
Aug-1999,369.8
Sep-1999,373.3
Oct-1999,375.7
Nov-1999,378.7
Dec-1999,383.0
Jan-2000,385.3
Feb-2000,388.7
Mar-2000,390.6
