time, All employees thousands computer systems design and related services seasonally 
Jan-1990,409.5
Feb-1990,410.6
Mar-1990,412.0
Apr-1990,413.2
May-1990,413.5
Jun-1990,413.6
Jul-1990,414.4
Aug-1990,415.1
Sep-1990,414.7
Oct-1990,414.8
Nov-1990,415.2
Dec-1990,415.9
Jan-1991,415.8
Feb-1991,416.2
Mar-1991,416.7
Apr-1991,419.7
May-1991,421.2
Jun-1991,423.5
Jul-1991,424.6
Aug-1991,426.3
Sep-1991,427.4
Oct-1991,429.3
Nov-1991,431.1
Dec-1991,432.9
Jan-1992,435.6
Feb-1992,438.1
Mar-1992,440.1
Apr-1992,441.0
May-1992,443.4
Jun-1992,445.4
Jul-1992,448.0
Aug-1992,449.9
Sep-1992,455.2
Oct-1992,458.3
Nov-1992,462.1
Dec-1992,465.5
Jan-1993,470.2
Feb-1993,474.3
Mar-1993,477.3
Apr-1993,480.9
May-1993,484.1
Jun-1993,486.8
Jul-1993,490.8
Aug-1993,492.7
Sep-1993,496.4
Oct-1993,499.9
Nov-1993,502.5
Dec-1993,506.0
Jan-1994,508.5
Feb-1994,510.8
Mar-1994,516.1
Apr-1994,520.8
May-1994,525.4
Jun-1994,531.4
Jul-1994,536.2
Aug-1994,542.5
Sep-1994,547.7
Oct-1994,554.1
Nov-1994,561.4
Dec-1994,567.2
Jan-1995,574.3
Feb-1995,580.8
Mar-1995,587.8
Apr-1995,593.7
May-1995,604.7
Jun-1995,612.6
Jul-1995,618.9
Aug-1995,627.0
Sep-1995,634.4
Oct-1995,642.6
Nov-1995,648.7
Dec-1995,657.5
Jan-1996,662.8
Feb-1996,668.0
Mar-1996,677.0
Apr-1996,683.3
May-1996,690.3
Jun-1996,697.4
Jul-1996,706.7
Aug-1996,716.1
Sep-1996,726.3
Oct-1996,735.3
Nov-1996,746.8
Dec-1996,756.7
Jan-1997,769.5
Feb-1997,781.7
Mar-1997,796.0
Apr-1997,805.4
May-1997,815.8
Jun-1997,825.7
Jul-1997,833.0
Aug-1997,847.8
Sep-1997,858.9
Oct-1997,868.5
Nov-1997,876.3
Dec-1997,889.7
Jan-1998,901.4
Feb-1998,914.1
Mar-1998,927.6
Apr-1998,941.4
